Purpose,Sector,Instrument,Action,Price,Lots/grams,Total Spend,Action Date,Notes,Approach
Long Term Investing,Commodities,ANTAM Gold,BUY,Rp1.1M,2,"Rp2,200,000.00",6 Jan 2023,Emergency Fund,
Long Term Investing,Commodities,NEO Gold,BUY,"Rp98.273,00",0.1002,"Rp98,273.00",15 Apr 2023,Emergency Fund,
Long Term Investing,Bonds,Deposits,BUY,Rp2.9M,-,"Rp2,900,000.00",15 Apr 2023,Interest 7% p.a (monthly tenor) [Emergency Fund],
Long Term Investing,Stock,ASII,BUY,"5,375",2,"Rp1,075,000.00",13 Jan 2023,ASIIDASTRA INTERNATIONAL,
Long Term Investing,Stock,INDF,BUY,"6,675",2,"Rp1,335,000.00",16 Jan 2023,INDFDPT INDOFOOD SUKSES MAKMUR TBK,
Long Term Investing,Stock,UNTR,BUY,"24,150",1,"Rp2,415,000.00",16 Jan 2023,UNTRDUNITED TRACTORS,
Long Term Investing,Stock,INDF,BUY,"6,300",1,"Rp630,000.00",17 Apr 2023,INDFDPT INDOFOOD SUKSES MAKMUR TBK,
Swing Trading,Stock,INDF,BUY,"6,425",1,"Rp642,500.00",26 Apr 2023,INDFDPT INDOFOOD SUKSES MAKMUR TBK,
Swing Trading,Stock,INDF,SELL,"6,675",1,"Rp667,500.00",3 May 2023,INDFDPT INDOFOOD SUKSES MAKMUR TBK,
Long Term Investing,Commodities,ANTAM Gold,SELL,"Rp940.000,00",1,"Rp940,000.00",3 May 2023,-,
Long Term Investing,Stock,UNTR,BUY,"24,775",1,"Rp2,477,500.00",4 May 2023,UNTRDUNITED TRACTORS,
Long Term Investing,Stock,ASII,BUY,"6,375",1,"Rp637,500.00",10 May 2023,ASIIDASTRA INTERNATIONAL,
Long Term Investing,ETF,XIIT,BUY,555,11,"Rp610,500.00",10 May 2023,On-target (per May 2023),
Long Term Investing,ETF,XISR,BUY,471,13,"Rp612,300.00",10 May 2023,On-target (per May 2023),
Long Term Investing,ETF,XIHD,BUY,642,9,"Rp577,800.00",10 May 2023,On-target (per May 2023),
Long Term Investing,Commodities,NEO Gold,BUY,"Rp100.087,00",0.1005,"Rp100,087.00",10 May 2023,Emergency Fund,
Long Term Investing,Stock,CPIN,BUY,"4,730",1,"Rp473,000.00",11 May 2023,CPINDCHAROEN POKPHAND INDONESIA,
Long Term Investing,Stock,UNTR,BUY,"24,050",1,"Rp2,405,000.00",19 May 2023,UNTRDUNITED TRACTORS,
Long Term Investing,Stock,AMZN,BUY,"Rp1,736,825",0.0002587135,"Rp44,934.00",22 May 2023,"AMZNAmazon.com, Inc.D",
Long Term Investing,Stock,INTC,BUY,"Rp447,762",0.00100352409,"Rp44,934.00",22 May 2023,INTCIntel CorporationD,
Long Term Investing,Stock,KO,BUY,"Rp927,408",0.00048451186,"Rp44,934.00",22 May 2023,KOCoca-Cola Company (The)D,
Long Term Investing,ETF,XIHD,BUY,638,4,"Rp255,200.00",24 May 2023,On-target (per May 2023),
Long Term Investing,ETF,XIIT,BUY,552,4,"Rp220,800.00",24 May 2023,On-target (per May 2023),
